                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.1409,                 0.7799,                 1.1913,                0.80567,                0.68116,                 0.7677,                 0.4018,                 1.6917,                 1.1595,                 1.5404,              0.0012674,              0.0012674,              0.0012674
                     76,                   1.14,                0.73448,                 1.1877,                0.82581,                 0.6871,                0.76157,                0.40403,                 1.6839,                 1.1205,                 1.5435,              0.0012575,              0.0012575,              0.0012575
                     77,                 1.1085,                0.76219,                  1.169,                0.82212,                0.69928,                0.78683,                0.40566,                 1.6856,                 1.1237,                 1.5315,              0.0012476,              0.0012476,              0.0012476
                     78,                  1.188,                0.79452,                 1.2414,                0.80662,                 0.7029,                0.79019,                0.41158,                 1.6883,                 1.0938,                 1.5238,              0.0012377,              0.0012377,              0.0012377
                     79,                 1.1615,                0.76012,                 1.2089,                0.83223,                0.66304,                0.77815,                0.41081,                 1.6836,                 1.1691,                 1.5245,              0.0012278,              0.0012278,              0.0012278
                     80,                 1.1395,                0.74185,                 1.1858,                0.85664,                0.65942,                0.77119,                0.40847,                 1.7136,                 1.1018,                 1.5709,              0.0012179,              0.0012179,              0.0012179
                     81,                 1.0989,                0.72872,                 1.1684,                0.82519,                0.71377,                0.79547,                0.41363,                  1.692,                 1.0522,                 1.5822,               0.001208,               0.001208,               0.001208
                     82,                 1.1137,                 0.7323,                 1.1875,                0.82177,                0.75175,                0.82061,                  0.433,                 1.6545,                 1.0265,                 1.5294,              0.0011981,              0.0011981,              0.0011981
                     83,                 1.0953,                0.68853,                 1.1307,                0.81116,                0.75725,                0.82239,                0.42685,                  1.687,                 1.0225,                 1.5599,              0.0011882,              0.0011882,              0.0011882
                     84,                 1.1286,                0.70895,                 1.1543,                0.82958,                0.72464,                0.81179,                 0.4297,                 1.6717,                 1.0574,                  1.565,              0.0011783,              0.0011783,              0.0011783
                     85,                  1.083,                0.69144,                 1.1454,                0.79257,                0.73372,                0.79966,                0.41868,                 1.7036,                 1.1068,                  1.568,              0.0011684,              0.0011684,              0.0011684
                     86,                  1.073,                0.71391,                 1.1483,                0.81162,                0.69203,                0.78707,                0.41352,                 1.6828,                 1.1095,                 1.5554,              0.0011585,              0.0011585,              0.0011585
                     87,                 1.0864,                0.69997,                 1.1657,                 0.7897,                0.70747,                0.79913,                0.41654,                 1.6886,                  1.082,                 1.5525,              0.0011486,              0.0011486,              0.0011486
                     88,                 1.0623,                0.70312,                 1.1508,                0.79376,                0.75362,                0.82156,                  0.419,                 1.7016,                 1.0383,                 1.5443,              0.0011387,              0.0011387,              0.0011387
                     89,                 1.1382,                0.72354,                 1.1901,                0.78854,                   0.75,                0.82318,                0.41829,                 1.7094,                 1.0253,                   1.56,              0.0011288,              0.0011288,              0.0011288
                     90,                 1.0601,                0.68452,                 1.1383,                0.83999,                0.67754,                0.78312,                0.39658,                 1.7103,                 1.0707,                 1.5727,              0.0011189,              0.0011189,              0.0011189
                     91,                 1.0604,                0.69076,                  1.145,                0.82442,                0.69203,                0.77962,                0.39262,                 1.6927,                 1.1167,                 1.5632,               0.001109,               0.001109,               0.001109
                     92,                 1.0858,                0.69049,                 1.1585,                0.81841,                0.70219,                0.78635,                0.41422,                 1.6427,                  1.157,                 1.5222,              0.0010991,              0.0010991,              0.0010991
                     93,                 1.0406,                0.66734,                 1.1421,                0.78149,                0.73913,                0.79697,                0.41716,                 1.6694,                 1.1567,                 1.5348,              0.0010892,              0.0010892,              0.0010892
                     94,                 1.0609,                0.68061,                 1.1363,                0.77369,                0.76812,                0.81341,                0.41969,                 1.6879,                 1.1445,                 1.5581,              0.0010793,              0.0010793,              0.0010793
